src_ip_count,dst_ip_count,label
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.5,0
1,1.0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
2,0.5,0
0,0,0
0,0,0
2,0.5,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
2,0.5,0
2,0.5,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
3,0.3333333333333333,0
2,0.5,0
2,0.5,0
0,0,0
0,0,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
2,0.5,0
0,0,0
4,0.25,0
0,0,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
0,0,0
1,0.5,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
0,0,0
1,1.0,0
1,1.0,0
2,0.5,0
0,0,0
4,0.25,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
3,0.3333333333333333,0
0,0,0
0,0,0
2,0.5,0
0,0,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
1,0.5,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
2,0.5,0
4,0.2,0
2,0.5,0
2,0.3333333333333333,0
2,0.5,0
1,1.0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
4,0.25,0
1,1.0,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
0,0,0
0,0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
4,0.25,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
2,0.5,0
2,0.5,0
4,0.2,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
2,0.3333333333333333,0
1,1.0,0
4,0.25,0
2,0.3333333333333333,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
5,0.2,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
0,0,0
0,0,0
3,0.25,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
0,0,0
3,0.3333333333333333,0
3,0.25,0
1,1.0,0
1,1.0,0
2,0.5,0
0,0,0
4,0.25,0
1,1.0,0
2,0.5,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
1,1.0,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
5,0.2,0
2,0.5,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
2,0.3333333333333333,0
2,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
4,0.25,0
1,1.0,0
1,1.0,0
5,0.16666666666666666,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
4,0.2,0
2,0.5,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
4,0.25,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
4,0.25,0
1,1.0,0
2,0.5,0
2,0.5,0
4,0.25,0
2,0.5,0
5,0.2,0
1,1.0,0
2,0.5,0
4,0.25,0
3,0.3333333333333333,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
2,0.5,0
1,0.5,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
2,0.5,0
3,0.3333333333333333,0
3,0.3333333333333333,0
3,0.3333333333333333,0
6,0.16666666666666666,0
1,1.0,0
0,0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
3,0.25,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
4,0.25,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
3,0.3333333333333333,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
1,1.0,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
2,0.5,0
4,0.25,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
2,0.5,0
2,0.5,0
2,0.5,0
0,0,0
0,0,0
3,0.25,0
2,0.5,0
0,0,0
2,0.5,0
2,0.5,0
0,0,0
2,0.5,0
2,0.5,0
2,0.5,0
4,0.25,0
1,1.0,0
4,0.25,0
0,0,0
6,0.14285714285714285,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
0,0,0
4,0.25,0
0,0,0
4,0.25,0
2,0.5,0
0,0,0
0,0,0
4,0.25,0
0,0,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
1,0.5,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
2,0.5,0
0,0,0
2,0.5,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
0,0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
4,0.25,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
0,0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
4,0.25,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
2,0.5,0
0,0,0
1,1.0,0
0,0,0
0,0,0
2,0.5,0
2,0.5,0
0,0,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
0,0,0
1,1.0,0
2,0.5,0
1,1.0,0
3,0.25,0
2,0.5,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
0,0,0
3,0.25,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
3,0.25,0
4,0.2,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
0,0,0
0,0,0
2,0.5,0
0,0,0
1,1.0,0
2,0.5,0
1,1.0,0
2,0.5,0
2,0.5,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
1,1.0,0
4,0.2,0
0,0,0
0,0,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
5,0.2,0
2,0.5,0
1,1.0,0
0,0,0
0,0,0
3,0.3333333333333333,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.3333333333333333,0
2,0.5,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
4,0.25,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
2,0.5,0
4,0.25,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
2,0.3333333333333333,0
1,1.0,0
2,0.5,0
0,0,0
0,0,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
2,0.3333333333333333,0
0,0,0
0,0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
0,0,0
2,0.5,0
2,0.5,0
4,0.25,0
1,1.0,0
1,0.5,0
1,1.0,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
0,0,0
2,0.5,0
2,0.5,0
2,0.5,0
0,0,0
2,0.5,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
2,0.5,0
1,1.0,0
4,0.25,0
1,1.0,0
0,0,0
2,0.5,0
0,0,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
4,0.25,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
2,0.5,0
2,0.5,0
3,0.25,0
2,0.5,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
3,0.25,0
1,1.0,0
0,0,0
1,1.0,0
2,0.5,0
1,1.0,0
0,0,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
0,0,0
5,0.2,0
2,0.5,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
0,0,0
3,0.3333333333333333,0
0,0,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
1,0.5,0
0,0,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.5,0
2,0.5,0
2,0.5,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
2,0.5,0
4,0.25,0
1,1.0,0
3,0.25,0
3,0.3333333333333333,0
0,0,0
3,0.3333333333333333,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
2,0.5,0
2,0.5,0
4,0.25,0
1,1.0,0
0,0,0
1,1.0,0
2,0.5,0
2,0.5,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
4,0.25,0
4,0.25,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
5,0.2,0
2,0.5,0
0,0,0
2,0.5,0
2,0.5,0
3,0.25,0
1,1.0,0
0,0,0
4,0.25,0
7,0.125,0
3,0.3333333333333333,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
4,0.25,0
1,1.0,0
2,0.5,0
1,1.0,0
4,0.25,0
1,1.0,0
1,1.0,0
5,0.2,0
1,1.0,0
2,0.5,0
2,0.5,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
1,1.0,0
4,0.2,0
4,0.25,0
2,0.5,0
3,0.3333333333333333,0
5,0.2,0
1,1.0,0
4,0.25,0
1,1.0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
3,0.3333333333333333,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
5,0.2,0
2,0.5,0
0,0,0
4,0.25,0
0,0,0
3,0.3333333333333333,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
2,0.5,0
4,0.25,0
2,0.5,0
3,0.3333333333333333,0
4,0.25,0
2,0.5,0
1,1.0,0
5,0.16666666666666666,0
3,0.3333333333333333,0
1,1.0,0
5,0.2,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
4,0.25,0
0,0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
4,0.25,0
1,1.0,0
2,0.5,0
3,0.25,0
1,1.0,0
0,0,0
6,0.16666666666666666,0
3,0.3333333333333333,0
2,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
4,0.25,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
2,0.5,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
4,0.25,0
1,1.0,0
1,1.0,0
4,0.25,0
3,0.25,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
5,0.2,0
2,0.5,0
0,0,0
1,1.0,0
2,0.5,0
2,0.5,0
2,0.5,0
1,1.0,0
3,0.25,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
4,0.25,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
4,0.25,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
8,0.125,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
0,0,0
2,0.5,0
4,0.25,0
1,1.0,0
4,0.25,0
1,1.0,0
5,0.2,0
2,0.5,0
2,0.5,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
2,0.5,0
1,1.0,0
0,0,0
4,0.25,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
1,1.0,0
5,0.2,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
4,0.25,0
6,0.16666666666666666,0
1,1.0,0
2,0.3333333333333333,0
0,0,0
1,1.0,0
1,1.0,0
4,0.25,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
1,1.0,0
3,0.25,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
3,0.3333333333333333,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
5,0.2,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.3333333333333333,0
0,0,0
0,0,0
0,0,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
1,1.0,0
2,0.3333333333333333,0
1,1.0,0
3,0.25,0
2,0.5,0
3,0.3333333333333333,0
3,0.25,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
4,0.25,0
2,0.5,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
2,0.3333333333333333,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
2,0.5,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
0,0,0
2,0.5,0
2,0.5,0
3,0.3333333333333333,0
3,0.3333333333333333,0
0,0,0
2,0.5,0
2,0.5,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
0,0,0
5,0.2,0
0,0,0
2,0.5,0
1,1.0,0
2,0.5,0
1,1.0,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
3,0.3333333333333333,0
0,0,0
0,0,0
0,0,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.3333333333333333,0
1,1.0,0
1,1.0,0
0,0,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
2,0.5,0
1,1.0,0
0,0,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
0,0,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
0,0,0
0,0,0
1,1.0,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
0,0,0
1,1.0,0
2,0.5,0
2,0.5,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
2,0.3333333333333333,0
2,0.5,0
0,0,0
0,0,0
1,1.0,0
0,0,0
4,0.25,0
0,0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
0,0,0
